time,layer_name,a,h,stress_theta,stress_z,rho,pressure,flow_rate,wss
254.0,artery,0.0010529405240560675,0.00019922849339674056,118059.17705730832,21918.393897391477,1742.6179220024944,22338.15787172249,1e-06,4.362732533230039
255.0,artery,0.0010528322295211296,0.0001992037463222853,118061.69990302669,21925.8870848759,1742.2111834553991,22338.15787172249,1e-06,4.364078926349005
256.0,artery,0.0010527231845071123,0.00019917829666144058,118064.55569349683,21933.551435083373,1741.7967648769925,22338.15787172249,1e-06,4.3654352097954385
257.0,artery,0.0010526134016642945,0.00019915215117552045,118067.74199907291,21941.38538440523,1741.3747521096825,22338.15787172249,1e-06,4.366801238022104
258.0,artery,0.0010525028935626764,0.0001991253166269898,118071.25638582182,21949.38737165457,1740.9452308727657,22338.15787172249,1e-06,4.368176866308884
259.0,artery,0.0010523916726915346,0.00019909779977867945,118075.09641574479,21957.55583814125,1740.5082867530766,22338.15787172249,1e-06,4.369561950765925
260.0,artery,0.0010522797514590028,0.00019906960739300464,118079.25964700509,21965.889227747248,1740.0640051957337,22338.15787172249,1e-06,4.370956348336586
261.0,artery,0.00105216714219167,0.00019904074623118746,118083.74363415634,21974.38598700242,1739.6124714950115,22338.15787172249,1e-06,4.372359916800293
262.0,artery,0.0010520538571341974,0.000199011223052487,118088.54592836567,21983.044565159827,1739.1537707852763,22338.15787172249,1e-06,4.3737725147752675
263.0,artery,0.0010519399084489602,0.00019898104461342906,118093.66407764985,21991.86341427238,1738.6879880320794,22338.15787172249,1e-06,4.37519400172107
264.0,artery,0.0010518253082157031,0.00019895021766704727,118099.09562710088,22000.84098926817,1738.2152080233138,22338.15787172249,1e-06,4.376624237941073
265.0,artery,0.0010517100684312203,0.00019891874896212433,118104.83811912176,22009.97574802716,1737.7355153605192,22338.15787172249,1e-06,4.378063084584759
266.0,artery,0.00105159420100905,0.00019888664524244317,118110.88909365701,22019.26615145691,1737.2489944502734,22338.15787172249,1e-06,4.3795104036499275
267.0,artery,0.0010514777177791914,0.00019885391324604137,118117.24608842516,22028.710663568898,1736.7557294957282,22338.15787172249,1e-06,4.380966057984741
268.0,artery,0.001051360630487838,0.0001988205597044745,118123.90663915468,22038.30775155413,1736.255804488234,22338.15787172249,1e-06,4.382429911289674
269.0,artery,0.001051242950797129,0.00019878659134208343,118130.8682798161,22048.05588585929,1735.7493031991057,22338.15787172249,1e-06,4.38390182811933
270.0,artery,0.0010511246902849194,0.00019875201487527076,118138.12854285649,22057.95354026214,1735.2363091715088,22338.15787172249,1e-06,4.385381673884137
271.0,artery,0.0010510058604445674,0.00019871683701178392,118145.68495943311,22067.999191946772,1734.716905712443,22338.15787172249,1e-06,4.386869314851927
272.0,artery,0.0010508864726847403,0.00019868106445000287,118153.53505964902,22078.1913215792,1734.1911758848942,22338.15787172249,1e-06,4.38836461814938
273.0,artery,0.0010507665383292341,0.00019864470387824054,118161.67637278508,22088.528413381515,1733.6592025000646,22338.15787172249,1e-06,4.38986745176339
274.0,artery,0.0010506460686168122,0.0001986077619740456,118170.10642753271,22099.00895520688,1733.121068109767,22338.15787172249,1e-06,4.391377684542296
275.0,artery,0.0010505250747010616,0.00019857024540351654,118178.82275222936,22109.6314386133,1732.5768549989252,22338.15787172249,1e-06,4.392895186196983
276.0,artery,0.0010504035676502626,0.0001985321608206227,118187.82287508658,22120.39435893735,1732.0266451782036,22338.15787172249,1e-06,4.394419827301899
277.0,artery,0.0010502815584472777,0.00019849351486653225,118197.10432442788,22131.296215367598,1731.4705203767853,22338.15787172249,1e-06,4.395951479295937
278.0,artery,0.0010501590579894498,0.00019845431416895217,118206.66462890994,22142.335511016947,1730.9085620352496,22338.15787172249,1e-06,4.397490014483275
279.0,artery,0.001050036077088526,0.0001984145653414714,118216.50131776162,22153.510752995353,1730.3408512986134,22338.15787172249,1e-06,4.399035306033983
280.0,artery,0.001049912626470585,0.00019837427498291813,118226.61192100702,22164.82045248113,1729.7674690094718,22338.15787172249,1e-06,4.400587227984677
281.0,artery,0.0010497887167759882,0.0001983334496767212,118236.9939696935,22176.26312479246,1729.1884957012983,22338.15787172249,1e-06,4.402145655238946
282.0,artery,0.001049664358559341,0.0001982920959902839,118247.6449961183,22187.837289457682,1728.604011591852,22338.15787172249,1e-06,4.403710463567753
283.0,artery,0.0010495395622894688,0.0001982502204743636,118258.56253405468,22199.5414702856,1728.0140965767448,22338.15787172249,1e-06,4.405281529609698
284.0,artery,0.0010494143383494082,0.000198207829662464,118269.74411897235,22211.37419543447,1727.418830223107,22338.15787172249,1e-06,4.406858730871204
285.0,artery,0.00104928869703641,0.00019816493007023241,118281.18728826063,22223.333997481117,1726.8182917634192,22338.15787172249,1e-06,4.408441945726602
286.0,artery,0.001049162648561958,0.00019812152819487005,118292.88958144904,22235.41941348867,1726.212560089461,22338.15787172249,1e-06,4.410031053418101
287.0,artery,0.0010490362030518001,0.00019807763051454976,118304.84854042504,22247.628985073963,1725.6017137463823,22338.15787172249,1e-06,4.4116259340556905
288.0,artery,0.0010489093705459895,0.00019803324348784265,118317.06170964874,22259.961258474374,1724.9858309269273,22338.15787172249,1e-06,4.413226468616953
289.0,artery,0.0010487821609989445,0.00019798837355315522,118329.5266363722,22272.41478461364,1724.3649894657815,22338.15787172249,1e-06,4.414832538946749
290.0,artery,0.001048654584279513,0.00019794302712817632,118342.24087084526,22284.988119167014,1723.7392668340426,22338.15787172249,1e-06,4.416444027756877
291.0,artery,0.0010485266501710582,0.0001978972106093315,118355.20196653336,22297.679822625912,1723.1087401338384,22338.15787172249,1e-06,4.4180608186255625
292.0,artery,0.0010483983683715475,0.00019785093037124935,118368.40748032104,22310.488460361506,1722.4734860930726,22338.15787172249,1e-06,4.419682795996939
293.0,artery,0.0010482697484936587,0.0001978041927662368,118381.8549727202,22323.41260268751,1721.8335810602894,22338.15787172249,1e-06,4.421309845180403
294.0,artery,0.0010481408000648951,0.0001977570041237627,118395.54200807503,22336.45082492254,1721.189100999678,22338.15787172249,1e-06,4.422941852349892
295.0,artery,0.0010480115325277124,0.0001977093707499522,118409.46615476215,22349.601707451475,1720.540121486214,22338.15787172249,1e-06,4.424578704543094
296.0,artery,0.0010478819552396557,0.00019766129892709157,118423.62498538967,22362.863835785734,1719.8867177009176,22338.15787172249,1e-06,4.426220289660575
297.0,artery,0.0010477520774735097,0.00019761279491314074,118438.01607699785,22376.235800623235,1719.2289644262448,22338.15787172249,1e-06,4.427866496464792
298.0,artery,0.0010476219084174549,0.00019756386494125693,118452.63701124971,22389.716197907197,1718.566936041603,22338.15787172249,1e-06,4.429517214579095
299.0,artery,0.0010474914571752378,0.00019751451521932703,118467.48537462442,22403.30362888435,1717.9007065190117,22338.15787172249,1e-06,4.431172334486602
300.0,artery,0.0010473607327663493,0.00019746475192951134,118482.5587586079,22416.99670016185,1717.2303494188577,22338.15787172249,1e-06,4.4328317475290175
301.0,artery,0.0010472297441262142,0.00019741458122779382,118497.85475988012,22430.79402376411,1716.555937885807,22338.15787172249,1e-06,4.434495345905362
302.0,artery,0.001047098500106386,0.00019736400924354557,118513.37098049615,22444.694217188,1715.8775446448262,22338.15787172249,1e-06,4.436163022670686
303.0,artery,0.001046967009474755,0.00019731304207909592,118529.10502806993,22458.695903457574,1715.1952419973193,22338.15787172249,1e-06,4.437834671734657
304.0,artery,0.0010468352809157669,0.00019726168580931172,118545.0545159554,22472.797711178253,1714.5091018174091,22338.15787172249,1e-06,4.43951018786006
305.0,artery,0.0010467033230306426,0.00019720994648119014,118561.2170634169,22486.99827458938,1713.8191955483278,22338.15787172249,1e-06,4.441189466661335
306.0,artery,0.001046571144337616,0.00019715783011345716,118577.59029581024,22501.29623361653,1713.1255941989152,22338.15787172249,1e-06,4.442872404602916
307.0,artery,0.00104643875327217,0.00019710534269617698,118594.17184474385,22515.690233922935,1712.4283683402618,22338.15787172249,1e-06,4.4445588989976414
308.0,artery,0.0010463061581872924,0.00019705249019037077,118610.95934825661,22530.178926959758,1711.727588102468,22338.15787172249,1e-06,4.4462488480049505
309.0,artery,0.0010461733673537237,0.00019699927852764732,118627.9504509697,22544.760970015253,1711.0233231714842,22338.15787172249,1e-06,4.447942150629221
310.0,artery,0.0010460403889602338,0.0001969457136098359,118645.14280426424,22559.43502626424,1710.315642786108,22338.15787172249,1e-06,4.449638706717774
311.0,artery,0.0010459072311138837,0.00019689180130863596,118662.534066427,22574.19976481548,1709.6046157350877,22338.15787172249,1e-06,4.451338416959113
312.0,artery,0.0010457739018403097,0.00019683754746527328,118680.12190281102,22589.05386075851,1708.8903103543228,22338.15787172249,1e-06,4.453041182880897
313.0,artery,0.0010456404090840102,0.00019678295789016316,118697.90398599175,22603.99599521007,1708.172794524194,22338.15787172249,1e-06,4.454746906847927
314.0,artery,0.0010455067607086364,0.00019672803836258624,118715.87799591203,22619.024855359083,1707.452135666987,22338.15787172249,1e-06,4.456455492060109
315.0,artery,0.0010453729644972919,0.00019667279463037016,118734.04162002944,22634.139134511344,1706.7284007444453,22338.15787172249,1e-06,4.458166842550339
316.0,artery,0.001045239028152842,0.00019661723240958187,118752.39255346423,22649.337532132922,1706.0016562554183,22338.15787172249,1e-06,4.459880863182281
